carat,cut,colour,clarity,depth,table,price,x,y,z,clarity_n,colour_n,Depth_check
1.09,Ideal,G,SI1,62.2,56.0,4970,6.6,6.55,4.09,2,3,62.20532319391636
1.02,Ideal,D,SI2,58.9,61.0,4971,6.56,6.62,3.88,1,6,58.877086494688925
1.01,Very Good,F,SI1,60.3,60.0,4972,6.46,6.55,3.92,2,4,60.26133743274404
1.06,Very Good,E,SI2,62.1,56.0,4972,6.52,6.59,4.07,1,5,62.09000762776507
0.94,Ideal,E,SI2,61.6,57.0,4972,6.29,6.31,3.88,1,5,61.58730158730159
1.14,Premium,D,SI2,60.3,58.0,4972,6.79,6.71,4.07,1,6,60.2962962962963
1.01,Fair,E,VS2,64.8,59.0,4972,6.34,6.26,4.08,3,5,64.76190476190476
1.11,Very Good,H,SI2,63.2,58.0,4973,6.64,6.53,4.16,1,2,63.17388003037206
1.11,Premium,H,SI2,61.9,59.0,4973,6.6,6.56,4.07,1,2,61.85410334346504
1.04,Ideal,G,SI2,61.9,58.0,4973,6.47,6.51,4.02,1,3,61.94144838212634
1.2,Premium,H,SI2,62.8,61.0,4973,6.7,6.62,4.18,1,2,62.76276276276276
1.07,Ideal,E,SI1,60.4,57.0,4973,6.62,6.56,3.98,2,5,60.39453717754173
1.35,Premium,J,VS2,61.2,61.0,4974,7.13,7.08,4.35,3,0,61.22448979591836
1.22,Premium,E,SI2,62.1,56.0,4974,6.89,6.83,4.26,1,5,62.099125364431494
1.22,Ideal,E,SI2,62.8,54.0,4974,6.78,6.75,4.25,1,5,62.82335550628233
1.03,Premium,E,SI2,62.0,59.0,4974,6.49,6.42,4.0,1,5,61.96746707978311
1.22,Premium,E,SI2,60.5,60.0,4974,6.93,6.89,4.18,1,5,60.49204052098408
1.05,Premium,G,SI1,60.3,57.0,4974,6.64,6.59,3.99,2,3,60.317460317460316
1.05,Very Good,I,VS2,62.4,59.0,4975,6.48,6.51,4.05,3,1,62.355658198614314
1.0,Very Good,E,SI2,58.7,59.0,4975,6.5,6.58,3.84,1,5,58.715596330275226
1.05,Ideal,H,SI1,61.8,56.0,4975,6.52,6.58,4.05,2,2,61.832061068702295
1.21,Premium,G,SI2,58.9,61.0,4976,6.98,6.91,4.09,1,3,58.89128869690425
0.9,Very Good,H,VVS1,62.3,59.0,4977,6.09,6.15,3.81,6,2,62.25490196078431
1.01,Good,D,SI1,62.9,57.0,4977,6.34,6.37,4.0,2,6,62.94256490952006
1.29,Very Good,F,SI2,63.4,57.0,4977,6.92,6.77,4.35,1,4,63.55003652300949
1.01,Premium,H,SI1,60.4,60.0,4977,6.55,6.47,3.93,2,2,60.36866359447005
1.01,Ideal,H,SI1,62.3,55.0,4977,6.43,6.37,3.99,2,2,62.34375
1.0,Very Good,H,VS2,60.7,60.0,4978,6.55,6.49,3.96,3,2,60.73619631901841
1.0,Very Good,H,VS2,59.6,59.0,4978,6.47,6.54,3.88,3,2,59.64642582628747
1.27,Very Good,H,SI2,63.1,57.0,4978,6.88,6.84,4.33,1,2,63.119533527696795
0.91,Premium,F,VS2,62.2,58.0,4979,6.17,6.21,3.85,3,4,62.197092084006464
1.16,Premium,H,SI2,62.6,57.0,4979,6.75,6.67,4.2,1,2,62.59314456035767
1.14,Premium,H,SI1,59.2,58.0,4980,6.86,6.8,4.04,2,2,59.150805270863835
1.04,Premium,H,SI1,58.7,61.0,4980,6.62,6.57,3.87,2,2,58.680818802122815
1.54,Premium,H,I1,62.0,60.0,4980,7.32,7.4,4.56,0,2,61.95652173913042
1.04,Premium,H,SI1,62.6,59.0,4980,6.47,6.43,4.04,2,2,62.63565891472869
1.04,Premium,H,SI1,59.5,58.0,4980,6.67,6.58,3.94,2,2,59.471698113207545
1.2,Premium,H,SI1,62.8,56.0,4980,6.76,6.68,4.22,2,2,62.79761904761905
0.9,Very Good,D,VS2,63.3,59.0,4981,6.12,6.17,3.89,3,6,63.30349877949553
0.71,Ideal,F,VVS1,61.1,54.0,4981,5.84,5.78,3.55,6,4,61.10154905335628
1.09,Ideal,F,SI2,61.2,57.0,4981,6.64,6.6,4.05,1,4,61.17824773413898
1.02,Ideal,E,SI2,62.6,54.6,4983,6.4,6.44,4.02,1,5,62.616822429906534
1.06,Premium,H,SI1,61.0,58.0,4984,6.57,6.61,4.02,2,2,61.00151745068285
1.13,Ideal,F,SI2,61.8,56.0,4984,6.69,6.73,4.15,1,4,61.847988077496275
1.01,Ideal,E,SI2,62.2,55.0,4984,6.4,6.43,3.99,1,5,62.197973499610285
1.0,Premium,H,VS2,60.4,58.0,4984,6.51,6.46,3.92,3,2,60.44718581341558
1.0,Fair,F,VS1,67.0,52.0,4984,6.12,6.08,4.09,4,4,67.04918032786885
1.15,Premium,G,SI2,62.2,60.0,4985,6.69,6.66,4.15,1,3,62.17228464419476
1.23,Ideal,J,VS2,61.8,56.0,4986,6.87,6.81,4.23,3,0,61.842105263157904
1.23,Ideal,J,VS2,61.8,56.0,4986,6.87,6.81,4.23,3,0,61.842105263157904
1.05,Very Good,I,VS2,63.2,59.0,4986,6.47,6.44,4.08,3,1,63.206816421378775
1.01,Good,E,SI1,63.3,58.0,4986,6.37,6.39,4.04,2,5,63.322884012539184
1.01,Very Good,E,SI1,62.6,57.0,4986,6.38,6.43,4.01,2,5,62.60733801717409
1.23,Premium,J,VS2,62.9,59.0,4986,6.85,6.8,4.29,3,0,62.85714285714286
1.12,Premium,I,VS2,62.8,57.0,4986,6.68,6.61,4.17,3,1,62.753950338600454
1.12,Ideal,I,VS2,62.8,55.0,4986,6.69,6.66,4.19,3,1,62.77153558052434
1.06,Ideal,G,SI2,62.1,58.0,4987,6.49,6.53,4.04,1,3,62.05837173579109
1.05,Ideal,F,SI2,60.3,55.0,4987,6.55,6.68,3.99,1,4,60.317460317460316
1.12,Premium,I,VS1,59.6,58.0,4987,6.82,6.77,4.05,4,1,59.602649006622514
1.02,Ideal,G,SI1,62.2,57.0,4988,6.43,6.49,4.02,2,3,62.22910216718265
1.18,Premium,G,SI2,60.5,60.0,4988,6.88,6.81,4.14,1,3,60.48210372534696
1.08,Ideal,E,SI2,61.7,57.0,4989,6.55,6.6,4.06,1,5,61.749049429657795
1.2,Premium,I,SI2,60.0,58.0,4989,6.91,6.93,4.15,1,1,59.97109826589596
1.5,Good,E,I1,62.4,64.0,4989,7.22,7.26,4.52,0,5,62.43093922651933
1.26,Very Good,J,SI1,61.8,58.0,4989,6.88,6.91,4.26,2,0,61.78390137781001
1.01,Premium,F,SI1,58.5,60.0,4989,6.6,6.57,3.85,2,4,58.46621108580106
1.01,Premium,F,SI1,59.1,59.0,4989,6.56,6.5,3.86,2,4,59.111791730474735
0.83,Ideal,G,VS1,62.1,55.0,4989,6.02,6.05,3.75,4,3,62.13753106876553
1.0,Good,E,SI1,62.6,61.0,4989,6.29,6.32,3.95,2,5,62.6486915146709
1.01,Good,F,SI1,63.6,58.0,4989,6.37,6.31,4.03,2,4,63.56466876971609
1.01,Good,F,SI1,63.7,57.0,4989,6.4,6.35,4.06,2,4,63.686274509803916
1.01,Premium,F,SI1,59.5,62.0,4989,6.53,6.45,3.86,2,4,59.476117103235744
1.01,Very Good,F,SI1,63.3,59.0,4989,6.42,6.38,4.05,2,4,63.28125
1.01,Good,F,SI1,63.8,59.0,4989,6.32,6.29,4.02,2,4,63.75892149088025
1.01,Premium,F,SI1,59.7,61.0,4989,6.55,6.49,3.89,2,4,59.66257668711657
1.01,Good,F,SI1,60.5,64.0,4989,6.48,6.45,3.91,2,4,60.47950502706883
1.01,Good,F,SI1,58.8,64.0,4989,6.58,6.51,3.85,2,4,58.82352941176471
1.01,Premium,I,VVS1,62.0,59.0,4989,6.39,6.32,3.94,6,1,61.998426435877256
1.01,Good,F,SI1,57.8,58.0,4989,6.65,6.6,3.83,2,4,57.81132075471698
1.01,Premium,F,SI1,62.5,58.0,4989,6.42,6.39,4.0,2,4,62.451209992193604
1.01,Very Good,F,SI1,63.5,59.0,4989,6.38,6.29,4.02,2,4,63.45698500394632
1.01,Premium,F,SI1,61.8,59.0,4989,6.41,6.34,3.94,2,4,61.80392156862745
1.01,Ideal,H,SI1,62.6,54.0,4989,6.38,6.34,3.98,2,2,62.578616352201266
1.21,Very Good,J,SI1,61.6,59.0,4990,6.8,6.83,4.2,2,0,61.62876008804109
1.02,Premium,E,SI2,58.7,58.0,4990,6.68,6.61,3.9,1,5,58.69074492099323
1.12,Ideal,G,SI2,61.3,55.0,4990,6.74,6.7,4.12,1,3,61.3095238095238
1.21,Very Good,H,SI2,61.1,60.0,4991,6.86,6.91,4.21,1,2,61.14742193173566
1.01,Premium,E,SI1,59.9,59.0,4991,6.49,6.46,3.88,2,5,59.922779922779924
1.25,Premium,G,SI2,62.8,57.0,4991,6.86,6.78,4.28,1,3,62.7565982404692
1.23,Good,J,SI2,63.2,57.5,4992,6.74,6.82,4.29,1,0,63.27433628318584
0.99,Very Good,D,SI2,62.5,57.0,4993,6.3,6.34,3.95,1,6,62.5
1.3,Very Good,J,VS1,63.2,57.0,4994,6.91,6.86,4.35,4,0,63.18082788671023
1.12,Premium,H,SI1,62.4,56.0,4994,6.74,6.63,4.17,2,2,62.37845923709798
1.06,Very Good,F,SI1,62.3,56.0,4995,6.5,6.57,4.07,2,4,62.28003060443764
1.0,Very Good,H,SI1,62.0,54.0,4995,6.43,6.47,4.0,2,2,62.015503875968996
1.0,Very Good,H,SI1,61.8,57.0,4995,6.39,6.42,3.96,2,2,61.82669789227167
1.03,Very Good,F,SI1,61.5,59.0,4996,6.42,6.49,3.97,2,4,61.50271107668474
1.1,Very Good,G,SI1,62.3,58.0,4997,6.55,6.61,4.1,2,3,62.31003039513677
1.1,Very Good,G,SI1,59.4,58.0,4997,6.72,6.79,4.01,2,3,59.363434492968175
1.1,Good,G,SI1,63.4,57.0,4997,6.52,6.55,4.14,2,3,63.351185921958674
1.0,Very Good,G,SI1,59.6,60.0,4997,6.43,6.49,3.85,2,3,59.59752321981424
1.0,Ideal,G,SI1,61.9,56.0,4997,6.37,6.45,3.97,2,3,61.93447737909516
1.04,Ideal,I,VS1,62.9,43.0,4997,6.45,6.41,4.04,4,1,62.83048211508554
1.13,Good,F,SI2,56.5,62.0,4998,6.93,6.88,3.9,1,4,56.48081100651702
0.4,Very Good,G,SI2,61.9,61.0,596,4.69,4.74,2.92,1,3,61.93001060445387
0.34,Ideal,E,SI1,62.2,55.0,596,4.45,4.49,2.78,2,5,62.19239373601789
0.34,Ideal,E,SI1,61.7,56.0,596,4.49,4.52,2.78,2,5,61.70921198668147
0.34,Ideal,G,VS2,61.5,55.0,596,4.47,4.5,2.76,3,3,61.53846153846155
0.34,Premium,H,VS1,61.4,59.0,596,4.5,4.53,2.77,4,2,61.35105204872646
0.34,Ideal,E,SI1,62.1,55.0,596,4.47,4.51,2.79,2,5,62.1380846325167
0.34,Very Good,E,SI1,60.3,57.0,596,4.53,4.56,2.74,2,5,60.286028602860284
0.4,Very Good,J,VS2,62.9,57.0,596,4.7,4.75,2.97,3,0,62.85714285714286
0.34,Good,E,SI1,63.2,55.0,596,4.46,4.49,2.83,2,5,63.24022346368716
0.34,Very Good,E,SI1,62.9,56.0,596,4.45,4.48,2.81,2,5,62.933930571108625
0.4,Good,G,SI2,63.1,59.0,596,4.65,4.7,2.95,1,3,63.10160427807486
0.34,Ideal,H,VS1,62.5,57.0,596,4.43,4.46,2.78,4,2,62.542182227221595
0.34,Premium,G,VS2,60.2,58.0,596,4.51,4.56,2.73,3,3,60.198456449834616
0.34,Premium,G,VS2,60.3,58.0,596,4.49,4.53,2.72,3,3,60.310421286031044
0.34,Very Good,I,VVS2,61.3,57.0,596,4.49,4.52,2.76,5,1,61.26526082130966
0.34,Ideal,E,SI1,61.0,57.0,596,4.48,4.51,2.74,2,5,60.95661846496107
0.34,Premium,G,VS2,60.3,59.0,596,4.49,4.53,2.72,3,3,60.310421286031044
0.34,Ideal,H,VS1,62.7,55.0,596,4.48,4.51,2.82,4,2,62.736373748609566
0.34,Ideal,G,VS2,62.2,53.0,596,4.46,4.51,2.79,3,3,62.20735785953178
0.34,Very Good,G,VS2,61.2,62.0,596,4.44,4.48,2.73,3,3,61.21076233183855
0.34,Ideal,E,SI1,62.3,57.0,596,4.48,4.51,2.8,2,5,62.29143492769744
0.34,Ideal,G,VS2,61.5,56.0,596,4.47,4.5,2.76,3,3,61.53846153846155
0.34,Ideal,E,SI1,60.7,57.0,596,4.48,4.51,2.73,2,5,60.734149054505004
0.34,Premium,G,VS2,61.2,59.0,596,4.43,4.49,2.73,3,3,61.210762331838566
0.3,Very Good,I,VVS2,63.0,57.0,596,4.24,4.27,2.68,5,1,62.98472385428907
0.34,Ideal,G,VS2,62.5,57.0,596,4.46,4.5,2.8,3,3,62.49999999999999
0.34,Very Good,E,SI1,59.6,57.0,596,4.52,4.61,2.72,2,5,59.58378970427164
0.34,Ideal,E,SI1,60.7,56.0,596,4.51,4.55,2.75,2,5,60.706401766004426
0.34,Premium,H,VS1,60.6,60.0,596,4.45,4.49,2.71,4,2,60.626398210290816
0.34,Ideal,H,VS1,62.1,57.0,596,4.48,4.51,2.79,4,2,62.06896551724138
1.19,Ideal,I,SI1,62.3,57.0,4998,6.78,6.73,4.21,2,1,62.3242042931162
1.04,Premium,H,SI1,61.0,58.0,4999,6.54,6.6,4.01,2,2,61.03500761035007
1.17,Ideal,I,SI2,61.8,54.0,4999,6.78,6.82,4.2,1,1,61.764705882352935
1.0,Very Good,H,VS2,63.3,53.0,5000,6.42,6.37,4.05,3,2,63.330727130570764
1.24,Ideal,J,SI1,61.8,57.0,5000,6.92,6.86,4.26,2,0,61.82873730043541
1.08,Ideal,I,VS2,61.6,56.0,5000,6.63,6.59,4.07,3,1,61.57337367624812
1.01,Very Good,I,SI2,62.2,59.0,5000,6.36,6.41,3.97,1,1,62.17697729052467
1.01,Very Good,I,SI2,63.4,57.0,5000,6.3,6.39,4.02,1,1,63.35697399527186
1.11,Very Good,G,SI1,60.3,60.0,5000,6.62,6.67,4.01,2,3,60.34612490594432
1.12,Ideal,E,SI2,60.5,55.0,5000,6.73,6.79,4.09,1,5,60.50295857988166
1.01,Premium,H,VS1,60.9,62.0,5000,6.52,6.49,3.96,4,2,60.876249039200616
1.0,Premium,H,VS2,61.5,61.0,5000,6.45,6.4,3.95,3,2,61.47859922178988
0.9,Premium,F,VS1,62.7,58.0,5000,6.17,6.14,3.86,4,4,62.7132412672624
1.24,Premium,I,SI2,62.1,58.0,5000,6.88,6.84,4.26,1,1,62.099125364431494
1.24,Ideal,F,SI2,60.0,56.0,5000,7.03,7.0,4.21,1,4,60.01425516749821
1.5,Fair,H,SI2,66.0,64.0,5000,7.1,6.97,4.64,1,2,65.95593461265102
1.16,Ideal,E,SI2,62.7,56.0,5001,6.69,6.73,4.21,1,5,62.74217585692995
1.16,Ideal,E,SI2,59.9,57.0,5001,6.8,6.82,4.08,1,5,59.91189427312775
0.9,Good,G,VVS2,63.6,58.0,5001,6.1,6.11,3.88,5,3,63.55446355446355
0.9,Very Good,E,VS1,62.3,56.0,5001,6.1,6.19,3.83,4,5,62.32709519934907
0.9,Premium,D,VS2,62.6,59.0,5001,6.14,6.17,3.85,3,6,62.550771730300575
1.07,Ideal,I,SI1,61.7,56.1,5002,6.57,6.59,4.06,2,1,61.70212765957446
1.1,Ideal,H,SI2,62.0,56.5,5002,6.58,6.63,4.09,1,2,61.9227857683573
1.2,Ideal,J,SI1,62.1,55.0,5002,6.81,6.84,4.24,2,0,62.12454212454213
1.0,Good,G,VS2,64.1,58.0,5002,6.22,6.32,4.02,3,3,64.11483253588516
1.0,Good,G,VS2,63.6,58.0,5002,6.26,6.35,4.01,3,3,63.60031720856463
1.01,Very Good,E,SI1,63.4,59.0,5002,6.38,6.34,4.03,2,5,63.364779874213845
1.01,Very Good,E,SI1,63.1,60.0,5002,6.37,6.34,4.01,2,5,63.09992132179386
1.01,Premium,E,SI1,62.4,60.0,5002,6.35,6.32,3.95,2,5,62.35201262825572
1.16,Premium,I,SI1,61.5,57.0,5002,6.79,6.73,4.16,2,1,61.53846153846154
1.14,Ideal,H,SI1,61.6,57.0,5003,6.7,6.75,4.14,2,2,61.56133828996282
1.14,Premium,H,SI1,60.7,58.0,5003,6.76,6.82,4.12,2,2,60.67746686303387
1.17,Premium,H,SI1,62.3,57.0,5004,6.75,6.71,4.19,2,2,62.25854383358099
1.11,Ideal,E,SI2,62.8,55.0,5004,6.62,6.6,4.15,1,5,62.7836611195159
1.09,Premium,H,VS2,61.2,58.0,5005,6.63,6.58,4.03,3,2,61.014383043149124
1.0,Very Good,D,SI1,62.8,58.0,5005,6.35,6.39,4.0,2,6,62.79434850863423
1.0,Good,D,SI1,60.4,64.0,5005,6.3,6.39,3.83,2,6,60.362490149724195
1.0,Good,D,SI1,61.9,65.0,5005,6.31,6.36,3.92,2,6,61.87845303867403
1.03,Ideal,H,SI1,62.2,56.0,5005,6.45,6.51,4.03,2,2,62.191358024691354
1.15,Good,H,SI1,60.2,61.0,5005,6.74,6.84,4.09,2,2,60.23564064801178
1.14,Ideal,E,SI2,62.6,56.0,5005,6.69,6.63,4.17,1,5,62.61261261261261
1.2,Premium,I,VS2,62.2,61.0,5006,6.74,6.73,4.19,3,1,62.21232368225687
0.72,Ideal,F,VVS1,60.8,56.0,5006,5.81,5.83,3.54,6,4,60.824742268041234
0.92,Very Good,F,VS1,61.0,60.0,5006,6.25,6.27,3.82,4,4,61.022364217252395
1.11,Ideal,I,SI1,62.2,54.0,5006,6.64,6.68,4.14,2,1,62.162162162162154
1.01,Premium,G,SI1,61.5,59.0,5006,6.48,6.43,3.97,2,3,61.50271107668474
1.01,Premium,G,SI1,60.6,57.0,5006,6.52,6.49,3.94,2,3,60.56879323597233
1.01,Premium,D,SI2,61.7,57.0,5006,6.49,6.44,3.99,1,6,61.7169373549884
1.01,Premium,G,SI1,61.3,59.0,5006,6.48,6.44,3.96,2,3,61.30030959752321
1.01,Ideal,D,SI2,61.3,54.0,5006,6.52,6.47,3.99,1,6,61.43187066974597
1.01,Ideal,D,SI2,61.6,57.0,5006,6.46,6.42,3.97,1,6,61.64596273291926
1.01,Premium,G,SI1,62.6,60.0,5006,6.36,6.29,3.96,2,3,62.608695652173914
1.01,Ideal,G,SI1,62.3,56.0,5006,6.42,6.38,3.99,2,3,62.34375
1.01,Premium,G,SI1,62.2,58.0,5006,6.42,6.4,3.99,2,3,62.246489859594384
0.8,Ideal,E,VS1,61.8,56.0,5007,5.92,5.96,3.67,4,5,61.78451178451179
1.27,Ideal,J,VS1,62.0,57.0,5008,6.96,6.92,4.3,4,0,61.959654178674356
1.02,Premium,H,VS2,60.4,59.0,5008,6.52,6.55,3.95,3,2,60.44376434583015
1.14,Premium,I,VS2,62.8,60.0,5008,6.68,6.59,4.17,3,1,62.848530519969856
1.14,Premium,F,SI2,60.8,58.0,5008,6.79,6.74,4.11,1,4,60.75388026607539
1.15,Ideal,G,VS2,62.2,54.0,5008,6.74,6.65,4.17,3,3,62.28528752800597
1.0,Very Good,I,VS1,61.1,59.9,5009,6.37,6.41,3.9,4,1,61.032863849765256
1.11,Very Good,H,SI1,62.0,56.0,5010,6.61,6.65,4.11,2,2,61.990950226244344
1.03,Very Good,E,SI1,61.3,60.0,5010,6.51,6.53,4.0,2,5,61.34969325153374
1.01,Very Good,F,SI1,62.8,60.0,5010,6.32,6.38,3.99,2,4,62.83464566929134
1.01,Very Good,F,SI1,63.1,59.0,5010,6.3,6.37,4.0,2,4,63.141278610891874
1.09,Good,H,SI1,63.6,56.0,5010,6.56,6.53,4.16,2,2,63.559969442322384
1.03,Premium,I,VS1,60.4,59.0,5012,6.51,6.57,3.95,4,1,60.39755351681957
1.11,Ideal,J,VS1,61.3,55.0,5012,6.65,6.75,4.11,4,0,61.34328358208956
1.13,Premium,E,SI1,62.7,57.0,5012,6.65,6.62,4.16,2,5,62.697814619442354
1.17,Ideal,G,SI2,62.0,55.0,5012,6.81,6.74,4.2,1,3,61.99261992619926
1.02,Very Good,I,VS2,62.1,59.0,5013,6.37,6.44,3.98,3,1,62.138953942232625
1.03,Ideal,D,SI2,61.8,54.0,5013,6.46,6.52,4.01,1,6,61.78736517719568
0.9,Ideal,H,VS1,60.9,56.0,5013,6.25,6.27,3.81,4,2,60.86261980830671
0.9,Ideal,H,VS1,62.1,56.0,5013,6.15,6.2,3.83,4,2,62.0242914979757
0.9,Ideal,H,VS1,62.0,54.0,5013,6.2,6.23,3.86,4,2,62.107803700724055
1.0,Good,D,SI1,64.8,58.0,5013,6.23,6.27,4.05,2,6,64.8
1.08,Very Good,F,SI1,62.9,57.0,5014,6.53,6.54,4.11,2,4,62.89211935730682
1.13,Very Good,F,SI2,59.1,59.0,5014,6.81,6.87,4.04,1,4,59.06432748538012
1.14,Very Good,E,SI2,60.2,58.0,5014,6.71,6.78,4.06,1,5,60.192735359525564
0.92,Ideal,E,SI1,61.7,57.0,5014,6.24,6.27,3.86,2,5,61.710631494804154
1.02,Ideal,H,SI1,61.9,57.0,5014,6.46,6.4,3.98,2,2,61.89735614307932
1.21,Very Good,I,SI2,63.2,57.0,5014,6.7,6.66,4.22,1,1,63.17365269461078
1.26,Premium,J,VS2,62.5,58.0,5015,6.9,6.92,4.32,3,0,62.51808972503618
1.26,Premium,J,VS2,62.1,58.0,5015,6.9,6.95,4.3,3,0,62.09386281588447
1.11,Good,D,SI2,58.0,62.0,5015,6.77,6.81,3.94,1,6,58.02650957290133
1.2,Very Good,H,SI2,61.9,57.0,5016,6.78,6.85,4.22,1,2,61.92223037417462
1.2,Very Good,J,VS1,59.1,61.0,5016,6.94,7.0,4.12,4,0,59.110473457675745
1.09,Ideal,F,SI2,61.2,55.0,5016,6.64,6.67,4.07,1,4,61.15702479338844
1.02,Ideal,G,SI1,62.4,55.0,5016,6.43,6.48,4.03,2,3,62.432223082881485
1.16,Premium,I,VS2,62.4,58.0,5016,6.69,6.65,4.16,3,1,62.3688155922039
1.13,Very Good,F,SI1,61.2,59.0,5017,6.72,6.75,4.12,2,4,61.172976985894586
1.13,Very Good,F,SI1,61.0,58.0,5017,6.69,6.75,4.1,2,4,61.011904761904745
1.04,Premium,G,SI1,60.9,59.0,5017,6.57,6.53,3.99,2,3,60.91603053435114
1.08,Very Good,E,SI2,62.9,59.0,5018,6.44,6.53,4.08,1,5,62.914417887432535
1.28,Good,H,SI2,63.6,56.0,5018,6.92,6.78,4.37,1,2,63.79562043795621
1.03,Ideal,H,SI1,59.8,57.0,5018,6.64,6.57,3.95,2,2,59.803179409538224
1.0,Good,I,VS1,63.7,56.0,5018,6.34,6.32,4.03,4,1,63.6650868878357
1.12,Ideal,G,SI2,61.5,57.0,5018,6.74,6.68,4.13,1,3,61.54992548435171
1.17,Ideal,H,SI2,62.3,57.0,5019,6.74,6.78,4.21,1,2,62.278106508875744
1.02,Very Good,F,SI1,61.9,58.0,5019,6.43,6.49,4.0,2,4,61.919504643962846
1.05,Very Good,G,SI1,59.7,58.0,5019,6.6,6.66,3.96,2,3,59.72850678733032
0.71,Ideal,F,VVS1,61.0,56.0,5019,5.77,5.8,3.53,6,4,61.01987899740708
0.71,Ideal,F,VVS1,61.7,56.0,5019,5.73,5.77,3.55,6,4,61.73913043478261
0.71,Ideal,F,VVS1,61.4,56.0,5019,5.75,5.78,3.54,6,4,61.40503035559409
1.0,Very Good,I,VS2,61.9,59.0,5020,6.35,6.38,3.94,3,1,61.90102120974077
1.06,Very Good,H,SI1,62.6,58.0,5020,6.4,6.51,4.04,2,2,62.58714175058095
1.01,Ideal,F,SI2,60.4,59.0,5020,6.48,6.51,3.92,1,4,60.35411855273287
1.01,Ideal,I,SI1,62.5,56.0,5020,6.4,6.36,3.99,2,1,62.53918495297805
1.01,Ideal,H,SI1,60.4,58.0,5020,6.5,6.54,3.94,2,2,60.42944785276074
1.06,Ideal,H,SI1,62.1,56.0,5020,6.51,6.57,4.06,2,2,62.07951070336391
1.01,Good,G,SI1,63.7,60.0,5021,6.28,6.32,4.01,2,3,63.650793650793645
1.01,Good,G,SI1,63.2,59.0,5021,6.32,6.36,4.01,2,3,63.24921135646688
1.03,Ideal,D,SI2,62.5,55.0,5021,6.41,6.48,4.03,1,6,62.529092319627615
1.27,Ideal,J,SI2,61.2,56.0,5021,6.99,6.95,4.27,1,0,61.2625538020086
1.39,Ideal,F,SI2,62.2,56.0,5021,7.2,7.15,4.46,1,4,62.1602787456446
1.09,Ideal,G,SI1,62.2,56.0,5022,6.6,6.55,4.09,2,3,62.20532319391636
1.01,Ideal,I,VS1,62.5,59.0,5022,6.33,6.41,3.98,4,1,62.48037676609105
0.91,Ideal,G,VS2,61.4,57.0,5023,6.23,6.28,3.84,3,3,61.39088729016786
0.92,Ideal,E,VS1,62.6,57.0,5023,6.18,6.13,3.85,4,5,62.550771730300575
1.03,Very Good,G,SI1,62.6,56.0,5024,6.41,6.44,4.02,2,3,62.56809338521399
1.17,Very Good,G,SI1,63.3,61.0,5025,6.65,6.59,4.19,2,3,63.293051359516625
1.0,Very Good,E,SI1,63.3,56.0,5026,6.31,6.39,4.02,2,5,63.30708661417322
1.01,Very Good,H,SI1,61.9,59.0,5026,6.4,6.43,3.97,2,2,61.886204208885424
1.24,Premium,J,VS2,61.4,59.0,5026,6.91,6.83,4.22,3,0,61.42649199417758
0.7,Premium,D,IF,60.0,59.0,5027,5.75,5.81,3.47,7,6,60.03460207612457
1.12,Premium,I,VS2,61.9,58.0,5027,6.63,6.68,4.12,3,1,61.90833959429001
1.32,Premium,E,I1,62.2,58.0,5027,7.05,6.97,4.36,0,5,62.19686162624823
1.07,Ideal,F,SI2,60.7,56.9,5027,6.62,6.65,4.02,1,4,60.587792012057264
1.25,Premium,H,SI1,60.7,58.0,5027,7.04,6.99,4.26,2,2,60.72701354240912
1.0,Premium,E,SI1,62.7,61.0,5027,6.37,6.32,3.98,2,5,62.72655634357761
1.0,Fair,E,SI1,57.6,57.0,5027,6.56,6.52,3.77,2,5,57.64525993883793
1.05,Ideal,H,SI1,62.5,56.0,5027,6.52,6.43,4.05,2,2,62.54826254826255
1.05,Very Good,H,SI1,63.2,56.0,5027,6.51,6.47,4.1,2,2,63.17411402157164
1.21,Ideal,F,SI2,61.5,57.0,5028,6.88,6.82,4.21,1,4,61.45985401459854
0.92,Premium,D,SI1,62.5,59.0,5028,6.24,6.14,3.87,2,6,62.52019386106624
1.01,Premium,H,VS2,61.3,58.0,5028,6.46,6.49,3.97,3,2,61.312741312741316
1.01,Very Good,H,VS2,62.1,57.0,5028,6.39,6.45,3.99,3,2,62.149532710280376
1.01,Ideal,H,VS2,61.9,57.0,5028,6.42,6.48,3.99,3,2,61.860465116279066
0.97,Ideal,D,SI1,62.8,56.0,5028,6.24,6.3,3.94,2,6,62.83891547049442
1.21,Fair,F,SI2,65.3,53.0,5028,6.74,6.68,4.38,1,4,65.27570789865872
1.54,Premium,J,SI1,61.1,58.0,5028,7.48,7.41,4.55,2,0,61.114842175957016
1.21,Good,I,VS2,64.1,61.0,5028,6.7,6.66,4.28,3,1,64.07185628742515
1.21,Good,J,VVS2,63.7,56.0,5028,6.71,6.67,4.26,5,0,63.677130044843054
1.03,Very Good,E,SI1,62.6,58.0,5029,6.42,6.49,4.04,2,5,62.58714175058095
1.22,Very Good,J,SI1,62.2,59.0,5029,6.77,6.8,4.22,2,0,62.19602063375092
0.86,Good,D,VVS1,64.3,53.0,5029,6.02,6.12,3.89,6,6,64.08566721581548
1.01,Ideal,H,SI1,62.3,55.0,5029,6.46,6.45,4.02,2,2,62.27730441518202
1.0,Very Good,F,SI1,63.8,56.0,5030,6.25,6.29,4.0,2,4,63.79585326953748
